Stock Code,Name
3680,RUIHE DATA
6068,WISDOM EDU INTL
813,SHIMAO GROUP
6666,EVERG SERVICES
826,TIANGONG INT'L
670,CHINA EAST AIR
2158,YIDU TECH
82318,PING AN-R
2127,HUISEN INTL
3931,CALB
933,VIVA GOODS
2469,FENBI
587,CONCH ENVIRO
708,EVERG VEHICLE
1361,361 DEGREES
2285,CHERVON
3396,LEGENDHOLDING
1811,CGN NEW ENERGY
2678,TEXHONG INTL GP
3773,YS DIGIFAVOR
468,GAPACK
1558,HEC CJ PHARM
338,SHANGHAI PECHEM
8238,WINTO GROUP
151,WANT WANT CHINA
1456,GUOLIAN SEC
1733,E-COMMODITIES
1600,TIAN LUN GAS
9878,HUITONGDA NET
909,MING YUAN CLOUD
1513,LIVZON PHARMA
8299,GRAND T G GOLD
1698,TME-SW
3331,VINDA INT'L
1675,ASIAINFO TECH
6669,ACOTEC-B
493,GOME RETAIL
1709,DL HOLDINGS GP
6818,CEB BANK
3360,FE HORIZON
1234,CHINA LILANG
1905,HAITONG UT
1122,QINGLING MOTORS
1425,JUSTIN ALLEN H
80992,LENOVO GROUP-R
223,ELIFE HLDGS
382,EDVANTAGE GROUP
2342,COMBA
2217,TAM JAI INTL
2138,EC HEALTHCARE
1970,IMAX CHINA
35,FE CONSORT INTL
9979,GREENTOWN MGMT
1057,ZHEJIANG SHIBAO
1645,HAINA INTEL
9638,FERRETTI
1119,IDREAMSKY
2291,SCIENTECH
6680,JLMAG
3969,CHINA CRSC
6911,LANCANG TEA
2666,UNI MEDICAL
3390,TYCOON GROUP
1686,SUNEVISION
3316,BINJIANG SER
2232,CRYSTAL INTL
6878,DIFFER GP AUTO
2233,WESTCHINACEMENT
1741,RI YING HLDGS
2696,HENLIUS
2517,GUOQUAN
89888,BIDU-SWR
754,HOPSON DEV HOLD
1448,FU SHOU YUAN
419,HUAYI TENCENT
517,COSCO SHIP INTL
341,CAFE DE CORAL H
2225,JINHAI INTL
604,SHENZHEN INVEST
732,TRULY INT'L
905,WALNUT CAP
9663,SINOSYNERGY
2473,XXF
6169,YUHUA EDU
1428,BRIGHT SMART
2157,LEPU BIO-B
6178,EB SECURITIES
9885,YSB
1719,CIL GROUP
6198,QINGDAO PORT
3382,TIANJINPORT DEV
2356,DAHSING BANKING
178,SA SA INT'L
3330,LINGBAO GOLD
1961,INFINITIES TECH
6820,FRIENDTIMES
81,CH OVS G OCEANS
9936,XIMEI RESOURCES
1025,KNT HOLDINGS
1726,HKE HOLDINGS
2005,SSY GROUP
1400,MOODY TECH HLDG
6127,JOINN
81024,KUAISHOU-WR
80941,CHINA MOBILE-R
1563,ALLI INTL ED LE
2150,NAYUKI
709,GIORDANO INT'L
1725,USPACE TECH
3939,WANGUO MINING
89618,JD-SWR
1783,ENVISION GREEN
2777,R&F PROPERTIES
2411,PAGODA GP
6993,BLUE MOON GROUP
1244,3D MEDICINES
1765,XJ INTL HLDGS
2016,CZBANK
286,AIDIGONG
